# pattern	brand	model	category	confidence	reason
apple watch|watchos|iwatch	Apple	Apple Watch	WEARABLE	97	Název odpovídá Apple Watch
galaxy watch|gear s|sm-r8|sm-r9|sm-l3	Samsung	Samsung Galaxy Watch	WEARABLE	97	Název odpovídá Samsung Galaxy Watch
fitbit|sense 2|versa|charge 6|charge 5|inspire 3	Google Fitbit	Fitbit hodinky nebo náramek	WEARABLE	96	Název odpovídá Fitbit zařízení
garmin|fenix|forerunner|venu|vivoactive|instinct	Garmin	Garmin hodinky nebo senzor	WEARABLE	96	Název odpovídá Garmin zařízení
amazfit|zepp|gtr|gts|bip|t-rex	Amazfit / Zepp	Amazfit hodinky nebo náramek	WEARABLE	94	Název odpovídá Amazfit/Zepp zařízení
mi band|smart band|redmi band|xiaomi band	Xiaomi	Xiaomi Smart Band / Mi Band	WEARABLE	94	Název odpovídá Xiaomi fitness náramku
huawei watch|honor band|huawei band	Huawei / Honor	Huawei/Honor hodinky nebo náramek	WEARABLE	94	Název odpovídá Huawei/Honor nositelnému zařízení
polar|whoop|withings|suunto|coros	Health/Wearable	Fitness hodinky nebo sportovní senzor	WEARABLE	90	Název odpovídá sportovnímu wearable zařízení
honor watch|honor choice	Honor	Honor Watch / Honor Band	WEARABLE	93	Název odpovídá Honor nositelnému zařízení
oppo watch|oneplus watch|realme watch	Oppo / OnePlus / Realme	Chytré hodinky nebo náramek BBK značek	WEARABLE	91	Název odpovídá Oppo/OnePlus/Realme wearable zařízení
ticwatch|mobvoi	Mobvoi	TicWatch chytré hodinky	WEARABLE	92	Název odpovídá Mobvoi/TicWatch
haylou|mibro|colmi|kospet|lemfo	Budget Wearable	Dostupné chytré hodinky nebo náramek	WEARABLE	86	Název odpovídá běžným levnějším wearable značkám
whoop|oura ring|ultrahuman	Health/Wearable	Zdravotní wearable senzor nebo prsten	WEARABLE	92	Název odpovídá wearable zdravotnímu senzoru
airtag	Apple	Apple AirTag	TRACKER	99	Název odpovídá AirTag
smarttag|smart tag	Samsung	Samsung Galaxy SmartTag	TRACKER	99	Název odpovídá Samsung SmartTag
tile mate|tile pro|tile slim|tile sticker|tile tracker	Tile	Tile tracker	TRACKER	98	Název odpovídá trackeru Tile
chipolo	Chipolo	Chipolo tracker	TRACKER	98	Název odpovídá trackeru Chipolo
pebblebee	Pebblebee	Pebblebee tracker	TRACKER	98	Název odpovídá trackeru Pebblebee
smarttrack|smart track	Eufy	Eufy SmartTrack	TRACKER	96	Název odpovídá trackeru Eufy
fynd|orbit|trackr|baseus t2|nut|nutale	Bluetooth tracker	Bluetooth sledovací tag	TRACKER	90	Název odpovídá levnějším Bluetooth trackerům
airpods|galaxy buds|freebuds|earbuds|earbud|headphones|headset|jbl|bose|sony wf|sony wh|marshall	Audio	Bluetooth sluchátka nebo audio zařízení	AUDIO	90	Název odpovídá sluchátkům nebo audio zařízení
